Temperature [℃],nA/cm2,model_1,model_2,model_3,model_4
33,0.007452302,0.009995872,0.042862353,1.05588E-07,9.68924E-11
35,0.009033241,0.012032015,0.045443559,1.34078E-07,1.33452E-10
37,0.011237943,0.01444668,0.048132694,1.69731E-07,1.8305E-10
39,0.014296668,0.017302996,0.050930991,2.14216E-07,2.50065E-10
41,0.017689563,0.020673207,0.053839437,2.6956E-07,3.40259E-10
43,0.026771816,0.02463969,0.056858753,3.38218E-07,4.61183E-10
45,0.028275403,0.029296026,0.059989369,4.23152E-07,6.22696E-10
47,0.03533664,0.034748091,0.063231406,5.27936E-07,8.37624E-10
49,0.043390402,0.041115139,0.066584645,6.56858E-07,1.12259E-09
51,0.053546835,0.048530833,0.070048511,8.15063E-07,1.49908E-09
53,0.065713052,0.057144175,0.073622042,1.0087E-06,1.99475E-09
55,0.084591101,0.067120243,0.07730387,1.24509E-06,2.64507E-09
57,0.102458098,0.078640644,0.081092196,1.53297E-06,3.49543E-09
59,0.122225824,0.091903553,0.084984764,1.88268E-06,4.60368E-09
61,0.146827557,0.10712317,0.088978841,2.30648E-06,6.04336E-09
63,0.174070427,0.124528401,0.093071193,2.81887E-06,7.90759E-09
65,0.2058018,0.144360501,0.097258065,3.43691E-06,1.0314E-08
67,0.242211194,0.166869409,0.101535158,4.1807E-06,1.34108E-08
69,0.282398861,0.192308398,0.105897612,5.07381E-06,1.73839E-08
71,0.322689283,0.220926683,0.110339989,6.14387E-06,2.24662E-08
73,0.379212236,0.252959533,0.114856257,7.42315E-06,2.89484E-08
75,0.43827945,0.288615441,0.119439776,8.94932E-06,3.71924E-08
77,0.496888297,0.32805993,0.124083286,1.07662E-05,4.76475E-08
79,0.543117487,0.371395592,0.128778903,1.29248E-05,6.08699E-08
81,0.620376866,0.418638131,0.133518112,1.54842E-05,7.75468E-08
83,0.677774157,0.469688393,0.138291763,1.85127E-05,9.85244E-08
85,0.725426937,0.524300712,0.143090077,2.20894E-05,1.24842E-07
87,0.792611262,0.582048457,0.14790265,2.63054E-05,1.57775E-07
89,0.859946227,0.642288339,0.152718463,3.12656E-05,1.98879E-07
91,0.908440433,0.704125975,0.1575259,3.70905E-05,2.50055E-07
93,0.984740175,0.766386282,0.162312763,4.39185E-05,3.13614E-07
95,1.045645489,0.827593521,0.167066302,5.19077E-05,3.92362E-07
97,1.104968737,0.885967,0.171773242,6.12394E-05,4.89695E-07
99,1.135475125,0.939439506,0.176419819,7.21199E-05,6.0972E-07
101,1.192725098,0.985705974,0.180991823,8.47847E-05,7.57384E-07
103,1.21201234,1.02230945,0.185474644,9.95016E-05,9.38642E-07
105,1.241835837,1.046769491,0.189853326,0.000116575,1.16064E-06
107,1.243027759,1.05675429,0.194112626,0.000136348,1.43194E-06
109,1.238929867,1.050291695,0.198237077,0.000159213,1.76278E-06
111,1.19511859,1.026005995,0.20221106,0.00018561,2.16535E-06
113,1.203214802,0.983357398,0.206018882,0.000216038,2.6542E-06
115,1.137326147,0.922851231,0.209644852,0.000251056,3.2466E-06
117,1.056604849,0.846176383,0.213073375,0.000291297,3.96301E-06
119,0.991710499,0.756230739,0.216289035,0.000337468,4.82767E-06
121,0.898203902,0.656998591,0.219276696,0.000390366,5.86921E-06
123,0.818113703,0.55326367,0.222021598,0.00045088,7.12139E-06
125,0.75932318,0.450171033,0.22450946,0.000520005,8.62393E-06
127,0.684121422,0.352687361,0.226726581,0.000598854,1.04235E-05
129,0.678329757,0.265043439,0.228659948,0.000688665,1.25749E-05
131,0.572917609,0.190262896,0.23029734,0.000790815,1.51421E-05
133,0.515535587,0.129876687,0.231627436,0.000906837,1.82E-05
135,0.460359154,0.083888169,0.232639914,0.001038427,2.1836E-05
137,0.425157364,0.050994512,0.233325554,0.001187467,2.61519E-05
139,0.388157301,0.029003737,0.233676337,0.001356034,3.12658E-05
141,0.353464826,0.015336459,0.233685536,0.00154642,3.73153E-05
143,0.328314316,0.007487406,0.233347803,0.001761149,4.44594E-05
145,0.307307604,0.003349743,0.232659249,0.002002995,5.28822E-05
147,0.290994223,0.001362164,0.231617512,0.002274998,6.27966E-05
149,0.27309532,0.000499063,0.230221826,0.002580486,7.44479E-05
151,0.259621421,0.000163172,0.228473063,0.00292309,8.81187E-05
153,0.251257262,4.7121E-05,0.226373778,0.003306763,0.000104134
155,0.239063357,1.18856E-05,0.223928237,0.003735799,0.000122867
157,0.231842647,2.58726E-06,0.221142427,0.004214843,0.000144745
159,0.226992947,4.79765E-07,0.218024059,0.004748909,0.000170258
161,0.221090726,7.47324E-08,0.214582549,0.005343389,0.000199965
163,0.21915014,9.63242E-09,0.210828994,0.006004056,0.000234505
165,0.213776164,1.0108E-09,0.206776121,0.006737067,0.000274605
167,0.211349276,8.48633E-11,0.20243823,0.007548954,0.000321092
169,0.208030332,5.59452E-12,0.197831118,0.008446612,0.000374908
171,0.207184125,2.83827E-13,0.192971984,0.009437271,0.000437117
173,0.202542132,1.08447E-14,0.187879331,0.010528458,0.000508928
175,0.200087172,3.04929E-16,0.182572842,0.011727944,0.000591706
177,0.200128879,6.15499E-18,0.17707325,0.013043668,0.00068699
179,0.194189412,8.68503E-20,0.171402197,0.014483648,0.000796517
181,0.192347675,8.32707E-22,0.165582079,0.016055859,0.00092224
183,0.187766779,5.26257E-24,0.159635886,0.017768084,0.00106635
185,0.182708737,2.12223E-26,0.153587032,0.019627735,0.001231306
187,0.181483531,5.27506E-29,0.147459186,0.021641637,0.001419855
189,0.176338206,7.78828E-32,0.141276088,0.023815762,0.001635065
191,0.174051179,6.56611E-35,0.135061381,0.026154936,0.001880351
193,0.169308496,3.03093E-38,0.128838425,0.028662481,0.002159508
195,0.164817604,7.325E-42,0.122630133,0.03133982,0.002476742
197,0.163712789,8.83712E-46,0.116458795,0.034186028,0.0028367
199,0.160346019,5.05914E-50,0.11034592,0.037197336,0.003244504
201,0.157378819,1.30229E-54,0.104312087,0.040366591,0.003705776
203,0.156716278,1.42345E-59,0.098376799,0.04368269,0.004226669
205,0.154353035,6.21701E-65,0.092558359,0.047129977,0.004813886
207,0.123028373,1.01722E-70,0.086873756,0.050687658,0.005474699
209,0.170430777,5.82268E-77,0.081338563,0.054329219,0.006216955
211,0.140062195,1.08445E-83,0.075966862,0.058021911,0.007049069
213,0.139527253,6.08568E-91,0.070771171,0.061726329,0.007980007
215,0.148857464,9.4859E-99,0.065762404,0.06539613,0.009019244
217,0.10409843,3.7682E-107,0.060949841,0.068977952,0.010176697
219,0.136367689,3.4826E-116,0.056341114,0.072411601,0.01146263
221,0.133134936,6.801E-126,0.051942221,0.075630555,0.012887517
223,0.132192827,2.5349E-136,0.047757543,0.078562871,0.014461861
225,0.136125369,1.6196E-147,0.04378989,0.081132549,0.016195954
227,0.131725698,1.5836E-159,0.040040556,0.083261392,0.018099575
229,0.129637023,2.1024E-172,0.036509387,0.084871408,0.020181614
231,0.130208827,3.3405E-186,0.033194865,0.085887734,0.022449607
233,0.129140997,5.5613E-201,0.030094203,0.086242045,0.024909182
235,0.128636481,8.4324E-217,0.027203444,0.08587635,0.0275634
237,0.126479757,1.0048E-233,0.024517574,0.084747,0.030411988
239,0.168320413,8.0553E-252,0.022030634,0.082828705,0.033450473
241,0.148749496,3.6903E-271,0.019735842,0.080118241,0.036669215
243,0.136436873,8.1355E-292,0.017625711,0.076637533,0.040052354
245,0.135751288,0,0.015692172,0.072435709,0.043576714
247,0.131849441,0,0.01392669,0.067589773,0.047210694
249,0.128720027,0,0.012320379,0.062203559,0.050913224
251,0.125550212,0,0.010864116,0.056404744,0.054632864
