Temperature [℃],nA/cm2
27,4.74983E-05
29,0.00014852
31,0.000166776
33,0.000270255
35,0.000329616
37,0.000428836
39,0.000553394
41,0.000718461
43,0.000933756
45,0.00121336
47,0.001645935
49,0.002031372
51,0.002666692
53,0.003387094
55,0.004358315
57,0.005606463
59,0.007074253
61,0.009145783
63,0.012110834
65,0.016328735
67,0.020532426
69,0.026684102
71,0.034467695
73,0.043354453
75,0.055300573
77,0.068007599
79,0.089554998
81,0.112566695
83,0.134865248
85,0.163026208
87,0.193937759
89,0.225356635
91,0.262814696
93,0.30621793
95,0.352765638
97,0.397828222
99,0.438334498
101,0.489288152
103,0.532547161
105,0.587869668
107,0.639721901
109,0.711486589
111,0.754268101
113,0.814904543
115,0.855625379
117,0.906114318
119,0.944929158
121,0.988949823
123,1.008644651
125,1.01705017
127,1.013455905
129,0.981707776
131,0.938856352
133,0.866447269
135,0.795945847
137,0.700159499
139,0.62445377
141,0.551191616
143,0.487901176
145,0.449977477
147,0.40703633
149,0.375994451
151,0.356156583
153,0.340669843
155,0.332066046
157,0.324109651
159,0.318413416
161,0.317196796
163,0.313248063
165,0.314171261
167,0.319438792
169,0.320824733
171,0.325353935
173,0.335845727
175,0.341620555
177,0.352683027
179,0.365529914
181,0.374679517
183,0.394811622
185,0.409174079
187,0.42546503
189,0.442647232
191,0.472777766
193,0.49300989
195,0.513470452
197,0.547538098
199,0.571528584
201,0.596812286
203,0.632861262
205,0.661471817
207,0.689523572
209,0.72585029
211,0.762513958
213,0.786686869
215,0.815183183
217,0.851278676
219,0.874431476
221,0.896875008
223,0.925694553
225,0.962825435
227,0.965804238
229,0.979188095
231,1.005411567
233,1.021716444
235,1.017963173
237,1.026942058
239,1.041784755
241,1.044685884
243,1.031942895
245,1.028584229
247,1.033003414
249,1.030961158
251,1.00338263
253,0.990781299
255,0.980653474
257,0.970140843
259,0.931989165
261,0.900780472
263,0.876358544
265,0.846115822
267,0.81561891
269,0.768888193
271,0.735612456
273,0.704072224
275,0.676934515
277,0.624512856
279,0.59433683
281,0.564854461
283,0.537807895
285,0.523871228
287,0.474928049
289,0.450381035
291,0.42845008
293,0.407961269
295,0.388069951
297,0.363500261
299,0.346938598
301,0.324649943
303,0.314192614
305,0.301722625
307,0.283702559
309,0.266572872
311,0.257506
313,0.247948282
315,0.237070638
317,0.221362045
319,0.214586899
321,0.202721072
323,0.195228853
325,0.189688375
327,0.186554368
329,0.171302456
331,0.164915703
333,0.158179164
335,0.154337887
337,0.148440427
339,0.142875332
341,0.135122392
343,0.132459228
345,0.127521312
347,0.124640849
349,0.123103431
351,0.118761843
353,0.11478906
355,0.111611731
357,0.107104684
359,0.102571477
361,0.098442064
363,0.093972232
365,0.091326421
367,0.086297542
369,0.080940673
371,0.07462725
373,0.070049251
375,0.063896025
377,0.055689066
379,0.051287296
381,0.042262456
383,0.032489459
385,0.02647868
387,0.017141679
389,0.007543399
